0,1,2,3,4
9,106246,117110,106065,106054
9,111056,113055,109081,113058
9,111068,109061,112066,107063
9,173044,120255,110073,104067
10,99130,97153,100168,101174
10,0,96148,101255,99252
10,0,0,100255,99255
10,102250,98250,100252,100248
10,0,98225,99229,98243
10,0,0,99252,100193
10,0,98216,100255,99237
10,0,0,97252,100255
10,0,97246,102246,99255
10,0,0,99255,98251
11,0,0,98121,92127
11,103184,93134,88088,95129
11,101131,95077,94115,93130
11,94098,98132,96147,97115
11,103056,94094,90107,97143
11,97137,98132,90130,97122
11,96141,96122,95116,94125
11,96124,88064,94114,96126
11,99146,35027,96125,97144
11,100124,93031,94142,92109
11,96113,88054,91062,98112
11,17025,69029,99167,96127
11,0,79022,101143,94112
12,28175,27201,29171,30175
12,29126,29167,34179,31151
12,29143,30189,32162,32132
12,31133,30186,32150,30144
12,29132,27141,28130,27139
12,25128,28143,30145,29139
12,29133,27133,29138,29152
12,30109,39206,26169,29130
12,35219,28147,28172,30130
12,255,29161,29163,31143
12,90146,29160,28155,32137
12,26193,26163,32114,29085
12,74070,28139,28107,29097
12,95064,95181,27091,30077
12,28098,32107,28149,28136
12,29148,29161,30139,28132
12,37084,30126,29114,33102
12,28115,28118,31142,28126
12,29119,27147,32133,26144
12,26127,29108,29153,31106
12,39153,29217,28104,29102
12,95112,29173,31110,29106
13,178255,242,179255,179255
13,255,255,1255,255
13,179245,255,255,179255
13,2242,177255,178255,179255
13,255,255,255,179255
13,0,242,255,1255
13,0,255,245,179255
13,0,255,179255,255
13,165255,179255,177255,179255
13,0,0,179255,179255
13,0,0,179255,255
13,0,0,255,179255
13,0,0,255,255
13,0,0,1255,255
13,0,0,255,3255
13,0,0,255,242
13,0,0,255,1255
13,0,0,255,255
13,0,0,1255,255
13,0,0,1255,255
13,0,0,179255,179255
13,0,0,179255,179255
13,0,0,1255,255
13,0,0,179255,179255
13,0,0,255,2249
13,0,0,1255,6255
14,0,0,60255,60255
14,0,0,60255,60255
14,0,0,58255,60255
14,0,0,63255,60255
14,0,0,60255,60255
14,0,0,60235,60255
14,0,0,60255,58255
14,0,0,60255,60235
14,0,0,60235,60255
14,0,0,58255,60255
14,0,0,60235,60255
14,0,0,58255,58255
14,0,0,62255,60255
14,0,0,60235,60235
14,0,0,60235,62255
14,0,0,60235,58255
14,0,0,60255,58255
14,0,0,60255,60255
14,0,0,58255,58255
14,0,0,63255,60255
14,0,0,60255,60255
14,0,0,60255,61255
14,0,0,60255,60255
14,0,0,58255,61255
14,0,0,60255,60255
14,0,0,60255,60255
14,0,0,60255,60255
14,0,0,60235,60255
14,0,0,60255,60255
14,0,0,60255,60255
14,0,0,60255,60242
14,0,60255,60255,60242
15,0,0,97097,96081
15,0,0,96095,97082
15,0,108246,95086,96072
15,0,0,97098,96079
15,0,0,97079,99084
15,0,0,98103,99083
15,0,0,98098,97077
15,0,0,94077,98091
15,0,0,98097,98090
15,0,0,97096,96080
15,0,0,96093,98089
15,0,0,96078,98080
15,0,0,98082,99092
15,0,0,95083,98086
15,0,0,94048,98072
15,0,0,96091,95081
16,0,0,88096,87081
16,0,0,90089,91120
16,0,0,88091,90101
16,0,0,82089,75062
16,0,0,85091,78088
16,0,0,78063,63060
16,0,0,89102,79078
16,0,0,86101,90100
16,0,0,86099,90123
16,0,0,89093,88089
