0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,23221193,18226104,21210090,20175137,19255121,18253128,22240139,22240133,13249084,19215177,22235127,19241092,23164131,22136161,23133161,23125167,23140157,22174135,23129168,23139150,23149142,23140157,22141143,23134152
2,179241036,10233046,15255057,13250049,10249040,12249040,179255020,178255029,16255072,18243085,12255068,16255120,23153152,24139165,24139158,24134165,23153145,24153150,23149145,23162137,23155150,24154146,24162142,23161155
2,8255046,16248039,9255038,12249040,177255022,9255052,13247064,8255053,15255067,13230060,7231054,14255040,23150146,25145148,24153150,24144154,25140149,24158142,24157143,24160134,24161147,23158147,24165139,24145151
2,13246057,15255034,11236040,2255030,15236067,18241109,15238123,8255040,12255061,2255041,3255027,12255053,23149152,25133163,24135164,25137170,24164146,24153163,24153143,23155146,25146147,24158144,24154142,23147147
2,6255033,16255061,3247032,19234136,13255055,16255118,14246058,14248069,7229049,9248035,7230040,10255041,23141157,24140153,24145151,24150153,23159152,24153150,24163138,23151149,24147139,23161144,24143186,24159141
2,19226152,21177134,20236150,21255109,21248110,15255084,15255060,20253137,18253126,24241108,20253105,20255086,23144142,24113169,23112166,23113181,23127147,23132149,24127149,24113170,23124161,24118155,24127148,23148134
2,24158190,22194129,23207118,20173243,20255062,22216131,22197201,18251064,20248108,20217194,19225119,20211121,23117168,24121160,24107158,22132153,22136154,20136167,24124148,22126160,24130145,24127144,23134152,24119158
2,22195209,21232109,21168109,22201230,20250113,21247060,22236106,21182105,21255082,20243107,22197127,22211127,23127155,25115155,24113162,24121152,24111170,19133171,23131150,23120145,24133146,24131146,23137145,22134156
2,26159088,20255087,20242101,19244091,20233093,21209232,21241074,22208115,17255087,19249158,22239113,21253129,24127149,22124163,24131144,23174119,23150133,23141147,24135136,24132145,22146138,23129144,22133149,25119154
3,165092103,178088133,175085135,155105080,109094,178077165,173123083,161138050,174147064,3154106,177103111,159074120,167068097,170053129,164046134,162041138,167055130,170057120,164054104,159043124,163049124,167056096,167064092,167060089
3,163118067,170102095,173099111,173098120,177207032,174092119,162057179,5169104,163176045,176146082,2166097,164208027,170060127,170056119,164050113,163056110,164048116,172053110,162051110,165059113,163050122,164062098,170054099,164052099
3,167216033,165094084,159128042,164125057,154079107,174163058,178128072,2122115,175099116,173122088,1097134,166084128,164051121,170049135,164047119,159050117,167053124,177065102,165061109,162047109,170047142,154051114,163060102,164057098
3,191040,166095091,177094087,159206026,161135051,7158124,169255011,3143114,173128080,4087215,162156062,147255018,172061112,174062111,164048117,162043120,170053124,164062098,167054123,170046145,164055112,167055092,171050096,170058092
3,164066093,177074110,172080099,174074093,176069092,167071083,162045097,170062107,170069111,163061101,159060089,172078098,173053102,167055106,167056118,166044099,170058101,170056096,167055093,152031114,147040120,156056095,173066097,162052083
3,179077106,173061105,70087,178079094,1053131,174071097,173062087,143039111,162045113,167053125,159051116,172069085,170051105,166042103,164051111,170050107,170058093,167071101,167055092,152043100,145042103,153062074,178076097,167058088
3,176065098,170062107,173064084,167055092,175079094,140075068,160052088,171048100,162049115,156045091,175075085,167054108,167056095,173052122,164050103,167053102,173063101,166050087,160051090,167059121,164067092,148044087,159058093,167065083
3,176069093,167044115,173055098,172072082,170063093,172074093,160040115,162049089,170051104,167056095,175059125,177059087,170073091,170056104,167049104,164080070,172067088,173066097,164053096,162054095,148045085,148046084,152048075,167059091
3,164185033,178227018,3092086,167084070,177079084,173073087,167060110,157044104,144042115,141073091,178255013,160219007,167048112,157045103,144042114,164055112,167061108,170069085,164058096,173066096,170072082,173089060,159070077,167064080
3,255015,177194025,157039,175066112,175080080,164054094,117115104,164044138,154042153,177230010,132255023,167179037,164055102,148036129,145062090,160055084,164052099,167062094,164054095,167053101,157041081,159047086,167064092,164062098
3,177070095,175086092,167065090,175080092,176080093,175074086,171059082,170063106,170060097,146048116,170066089,167052112,164066093,167048121,174057121,170059100,172060097,164064087,171061080,160053086,153055098,141053101,170084079,170068098
3,174066120,178059126,175061122,178066112,176061122,173055116,170054123,170054123,167045131,164047130,174057121,60128,162046123,165051130,164041124,167041130,167051114,173048134,162045114,162046111,159048112,162049115,167056105,164042122
4,255029,5255033,7255031,6255035,255026,14226053,9255054,9255053,16141114,255018,10251071,8249044,15082134,15063133,15068132,12071129,13089117,16107105,15114096,14097105,13083102,13088098,12094098,17103104
4,1255029,7235039,5247031,4255028,8233034,2255019,11245051,14136092,6229029,230020,6255049,4255043,13071118,14080128,13068120,15080111,15114107,13136092,15127090,15078101,14097105,13080105,14113090,15086125
4,174177023,15165102,5255024,8233034,12255036,242019,179243021,15167166,255020,99086086,17142144,174129065,17138089,16102125,17108111,16103114,17154083,17147073,18116086,15119090,16108087,13129089,14128080,16150085
4,16179107,13156088,15157107,12220066,179255021,255024,15184148,179255032,100102090,14125147,8201061,4248034,16098114,15111135,19063137,14154096,16120098,16114098,16107088,17107095,16108090,13096090,16136086,17138083
4,4255042,16163100,7255031,255015,8255032,2255033,5244047,11209067,107230062,108055079,10202086,4255058,14112112,13093132,18123081,15117118,15098125,16120098,17104103,17109105,14091137,13095110,16125094,17110104
