0,1,2,3,4
12,47096098,49096102,40085087,39095097
12,63110110,5026020,43118128,45091092
12,2014012,46104109,26076080,42086086
12,4,33089090,32088089,37084082
12,7007003,35092094,35085089,43093089
12,22081090,31078086,48087085,74110111
12,87102074,39083086,51086088,65103105
12,76073057,93082027,72108112,78112112
12,71112115,54093090,36083087,43088092
12,39092093,29077079,41090090,46092095
12,75112103,46091091,52092094,65108103
12,57101104,53096099,35079078,52099103
12,66122124,37082087,36075072,40085092
12,69128137,56095097,30074075,62106105
12,18045037,11072074,70115118,66108110
12,50046028,26080081,55097096,58097099
13,1000016,1001019,1000020,1000020
13,13,16,1021,25
13,2001025,18,17,1000020
13,1002019,2000020,1000014,1000020
13,5,18,18,1000020
13,0,1001019,16,1022
13,0,23,1001025,1000026
13,0,27,1000020,28
13,1000002,1000020,2000022,1000020
13,0,0,1000026,1000020
13,0,0,1000026,24
13,0,0,34,1000020
13,0,0,28,24
13,0,0,1022,24
13,0,0,18,3034
13,0,0,18,1001019
13,0,0,24,1022
13,0,0,24,24
13,0,0,1023,24
13,0,0,1022,28
13,0,0,1000020,1000026
13,0,0,1000020,1000025
13,0,0,1021,24
13,0,0,1000020,1000020
13,0,0,24,1003040
13,0,0,1022,9047
14,0,0,11000,11000
14,0,0,12000,11000
14,0,0,15001,19000
14,0,0,1010000,12000
14,0,0,14000,18000
14,0,0,1013001,19000
14,0,0,12000,15001
14,0,0,12000,1013001
14,0,0,1013001,14000
14,0,0,15001,16000
14,0,0,1013001,16000
14,0,0,15001,15001
14,0,0,1014000,14000
14,0,0,1013001,1013001
14,0,0,1013001,1017000
14,0,0,1013001,15001
14,0,0,14000,18001
14,0,0,16000,12000
14,0,0,15001,15001
14,0,0,1010000,19000
14,0,0,14000,19000
14,0,0,17000,1022000
14,0,0,21000,19000
14,0,0,18001,1022000
14,0,0,17000,19000
14,0,0,14000,14000
14,0,0,14000,11000
14,0,0,1013001,17000
14,0,0,16000,19000
14,0,0,16000,16000
14,0,0,18000,1020001
14,0,12000,17000,1020001
15,0,0,124113077,152142104
15,0,0,123114077,152141103
15,0,29012001,137130091,164155118
15,0,0,127116078,148139102
15,0,0,123114085,145130097
15,0,0,134120080,159143107
15,0,0,125113077,146136102
15,0,0,109105076,138125089
15,0,0,126114078,142129092
15,0,0,130118081,147138101
15,0,0,126117080,138126090
15,0,0,124116086,143131098
15,0,0,124114084,141126090
15,0,0,136128092,155141103
15,0,0,91089074,171159123
15,0,0,135125087,142134097
16,0,0,94096060,98101069
16,0,0,97097063,85084045
16,0,0,104107069,96096058
16,0,0,81089058,112127096
16,0,0,82087056,72084055
16,0,0,62069052,61077059
16,0,0,104105063,104117081
16,0,0,69073044,79079048
16,0,0,85090055,52052027
16,0,0,109110070,101103067
