0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,120255,122226,122255,119243,124203,129163,120255,136250,119243,118225,122210,120255,119255,120251,120255,121238
7,124245,122255,121255,120255,119255,120249,125248,125238,119188,119202,118255,120255,120255,120251,120255,121239
7,120255,120251,119255,121226,118227,120201,122232,120251,119216,120218,120248,120251,120200,118240,120255,120237
7,121251,120255,126255,131193,123182,124230,123255,125247,119207,119203,119211,120255,120255,119217,120234,124158
7,120255,120255,120255,119255,119255,122212,122219,121250,118223,121230,118251,120228,120255,118248,119251,119215
7,121255,120255,121255,120236,120233,121241,125242,122255,119210,122203,120183,118234,119243,118238,117255,121228
7,120255,121226,120248,120232,120186,122169,122193,124255,117214,117217,118201,118241,119226,120216,119240,118222
7,124232,124224,119255,121236,122212,123209,124248,120255,121195,120181,118251,120255,119255,118244,118246,119251
7,121241,120251,120252,122196,122179,122178,126228,120255,119192,118185,117175,120193,118206,118190,118199,119219
7,119255,121203,120255,120255,120237,124227,122242,123255,120255,120234,119252,120255,120255,119255,120255,120255
7,125248,121255,119255,119255,122255,124245,121255,124255,121251,119238,120255,120255,120255,121255,120255,120255
7,120255,121255,120255,121248,121248,129255,119255,120255,119251,120227,120244,120255,119255,120255,120255,120255
7,128255,125102,127155,127141,122105,125098,122255,119255,125099,120098,118119,127115,120122,120140,121148,122123
7,120255,118250,120255,121113,119123,121111,144231,122255,125112,120102,125117,119120,118149,120133,121150,126136
7,121115,123103,123131,123150,118132,125091,129103,119153,125119,123103,125124,123126,118133,122135,123168,123131
7,121255,121255,164243,179255,125255,120255,122255,120255,117231,117206,120205,119236,118231,118215,118237,122223
7,120247,120248,120255,128255,135243,121255,122255,121244,120201,118197,119217,119222,118236,119234,121238,119251
7,121255,120255,120251,124232,120255,120255,120255,120255,119187,118205,118209,120228,117219,117224,122250,119239
7,110235,124204,121255,120225,118204,121176,120188,122202,118203,117190,118211,120217,122255,118227,120247,120214
7,122206,119217,122245,124201,121208,123168,122196,125255,118211,118188,119208,122196,118244,118233,120243,121234
7,122228,120255,121255,120255,121195,120208,122240,121255,117231,120193,118244,119255,119255,118240,120255,122255
8,11227,11255,10255,23255,17255,21243,21237,15238,21255,32223,17255,13255,20255,20255,24255,55255
8,11227,11255,9255,6255,17255,177255,31180,31243,17255,26225,25255,13255,17255,25255,24255,13255
8,255,15255,255,20255,15255,25231,28242,255,15255,30227,24255,13255,24213,19255,13255,11255
8,6255,23204,8170,24227,27255,24247,20251,18235,23255,24213,13255,13255,24255,11255,13255,16255
