0,1,2,3,4,5,6,7,8
9,120037,120029,143012,160008,106048,111040,108054,112042
9,120031,109058,108044,124021,106066,107063,105065,115048
9,119247,117118,155085,120028,109050,105065,108051,109065
9,116067,135255,152099,112215,105046,105058,103046,107056
9,126056,173255,139031,140049,101070,115021,111061,168011
9,173057,133179,125103,111207,110055,113033,107058,110047
9,125044,108055,117048,111132,105050,106062,104029,105053
9,105078,123255,120255,123255,107066,110061,107069,110052
9,109104,130087,124085,120043,111069,111051,107065,107053
9,123255,159025,122255,139118,110059,106081,107059,113030
9,7021,93145,117185,111097,108053,105060,110057,112042
9,110064,110057,111039,116046,106071,107092,108087,111063
9,122038,118239,110024,127032,107074,112070,106071,107054
9,119235,119255,122125,125241,106068,109081,106100,107077
10,100167,0,97116,97148,99179,100158,100162,100169
10,96227,0,97214,95154,99255,100255,100252,100255
10,0,0,0,0,102255,100252,100255,99240
10,99252,100255,96108,75119,101255,101255,103255,100252
10,0,0,0,97240,98238,99255,99255,98242
10,0,0,0,0,98248,98249,98252,99236
10,98223,0,98218,99224,99233,98240,99252,100246
10,0,0,0,98247,98250,100249,100255,99255
10,97245,0,98218,97244,99253,100252,103250,100255
10,0,0,0,0,98255,99255,99243,100210
11,0,0,0,100161,92133,96130,100201,96133
11,96130,95115,102119,98124,94127,94139,97125,96139
11,93020,0,97077,96104,93132,84083,97128,94124
11,98153,96131,98091,91106,93116,94132,91123,89113
11,98059,106014,100067,93048,94123,88104,89102,93105
11,98113,94148,95102,102191,95122,94115,99142,94115
11,98129,96129,100167,97119,101184,94100,94155,97112
11,101138,92130,95106,98074,95125,95142,95144,96134
11,84044,0,97135,98049,102163,94148,91112,95099
11,96145,0,92066,80015,94154,95159,88080,94123
11,94119,97111,96097,99112,93105,94097,88046,98119
11,56008,92053,98090,72031,96142,92106,93108,96134
11,39010,0,98088,73029,95129,92113,91097,98123
12,31136,30198,29185,28171,32139,31202,31193,29171
12,28190,29182,29153,26199,30143,30193,29196,29236
12,29167,27146,30101,25091,29157,32159,32161,27135
12,31191,31170,33157,30184,28192,31161,28171,29146
12,41066,31120,28173,28144,28151,29140,30143,28159
12,29167,30151,29151,27147,29161,29129,29155,27179
12,29173,30155,30141,29137,29149,29149,31148,27179
12,71116,28135,26154,191,29137,29176,29170,35137
12,27158,85149,15170,93197,31129,29161,30184,29137
12,28185,30227,165255,30140,33153,28182,29184,31143
12,32186,150255,60073,30142,30150,29156,31154,27169
12,32165,23131,28166,27170,31090,28124,30103,29112
12,29166,58044,45039,29120,28131,27117,31088,29099
12,102209,37209,21243,76047,33088,29110,27091,28088
12,29154,29149,29143,28156,29148,30154,28136,27130
12,47057,29156,30129,29141,29133,29171,29129,28129
12,29181,29106,53079,35096,30130,28129,29136,27053
12,26188,28158,28140,30123,29154,28153,29141,26136
12,29167,31167,25151,21098,29132,31123,29139,30126
12,29186,30117,24122,37030,31111,28150,29120,31142
12,29203,32104,25151,24159,32110,29148,29123,32108
12,27194,28102,74096,29145,29110,27096,31156,29110
13,255,255,179249,1255,1255,179255,179255,179255
13,255,173204,1255,179255,179255,242,242,179255
13,255,178255,255,179255,179255,179255,178255,1255
13,179255,240,158255,2255,179255,255,255,178255
13,255,0,15255,255,179255,255,255,255
13,0,0,0,1255,179255,255,255,179255
13,0,0,0,255,255,1255,255,255
13,0,0,0,177255,1255,255,179255,1255
13,255,255,0,179255,179255,242,179255,1255
13,0,0,0,0,255,1255,179255,255
13,0,0,0,0,255,255,179255,179255
13,0,0,0,0,245,255,255,255
13,0,0,0,0,255,255,179255,255
13,0,0,0,0,255,255,179255,1255
13,0,0,0,0,179255,179255,4255,179255
13,0,0,0,0,243,179255,179255,255
13,0,0,0,0,179255,179255,179255,255
13,0,0,0,0,179255,255,179255,179255
13,0,0,0,0,1255,179255,255,255
13,0,0,0,0,179255,179255,179255,1255
13,0,0,0,0,179255,255,179255,3243
13,0,0,0,0,1255,1255,179255,179255
13,0,0,0,0,255,179255,242,179255
13,0,0,0,0,255,1255,255,255
13,0,0,0,0,245,179255,246,248
13,0,0,0,0,1255,255,2249,1255
14,0,0,0,0,60255,60255,60255,60255
14,0,0,0,0,60255,60255,60235,60255
14,0,0,0,0,60255,60255,60255,60255
14,0,0,0,0,60255,65255,60255,60255
14,0,0,0,0,60255,60255,60235,60255
14,0,0,0,0,60255,60255,63255,60255
14,0,0,0,0,60255,63255,60255,60255
14,0,0,0,0,60235,63255,60255,62255
14,0,0,0,0,60255,60235,60235,56255
14,0,0,0,0,58255,60255,58255,58255
14,0,0,0,0,62238,60255,62255,60255
14,0,0,0,0,60255,60235,58255,60255
14,0,0,0,0,60255,60255,60255,60255
14,0,0,0,0,58255,60235,60235,60235
14,0,0,0,0,60235,60235,60235,60255
14,0,0,0,0,60255,60235,65255,60235
14,0,0,0,0,62255,60255,62255,60255
14,0,0,0,0,58255,60255,64255,60255
14,0,0,0,0,58255,58240,62255,60255
14,0,0,0,0,58255,58255,60235,60235
14,0,0,0,0,68225,60235,58255,62241
14,0,0,0,0,60255,60255,60242,61255
14,0,0,0,0,60242,60255,60255,60255
14,0,0,0,0,60255,61255,60255,60255
14,0,0,0,0,60255,58255,60255,60255
14,0,0,0,0,63255,60235,60235,60235
14,0,0,0,0,58255,58255,60235,60235
14,0,0,0,0,60255,60255,62255,62255
14,0,0,0,0,60255,62223,60255,60255
14,0,0,0,0,65255,62255,60255,58255
14,0,0,0,0,60255,60255,60255,60255
14,60255,0,60250,60255,61255,60255,58255,59255
15,0,0,0,0,97079,97102,94071,96077
15,0,0,0,0,96091,94079,96081,98084
15,101235,0,111233,110243,98081,96078,96074,98076
15,0,0,0,0,98084,100133,97087,96084
15,0,0,0,0,98078,96090,99115,100103
15,0,0,0,0,100100,97089,98089,98084
