0,1,2,3,4,5,6,7,8
5,255100,255113,249091,255102,250107,255100,255082,253111
5,255092,255105,3241149,255106,255094,252095,255092,255094
5,2255120,2253120,3255132,2255126,1251122,255103,237125,2255112
5,249084,252091,255099,14255254,255088,255074,252079,255096
5,255102,1255104,179255100,255098,252079,252079,255082,255103
5,255081,1212130,3255134,255080,255092,255090,255080,255096
5,1255052,4253144,2253117,4255140,248116,253114,255108,1251116
5,3253142,8255189,2251134,2253133,1255114,255104,255100,255110
5,252095,255120,3255145,17255255,255106,255095,255084,255099
5,1255057,255064,255099,252095,255089,252075,248068,255086
5,255080,5250149,1255109,2255110,2255121,255091,255100,255099
5,7246167,6250161,5250151,17225255,255096,255096,255090,179252097
5,4251125,3255123,4255128,2255112,1255102,255098,255104,1255104
5,2240117,4244137,6255152,13255247,2255105,255092,255085,1255106
5,2255116,1248107,2255122,3255107,255098,252090,255100,1255103
5,255098,1250109,1255112,255103,255099,255096,255095,255098
5,1255049,4255151,5255170,179255050,255090,255096,255089,255091
5,179255056,250102,2251130,255068,255090,255080,255078,255088
5,255081,255092,255090,255085,255084,255076,255075,255074
5,179255089,255114,255113,255102,255098,255094,255099,252093
5,255090,255103,251129,255098,255094,255086,255099,255091
6,247031,255034,245025,255020,255069,255060,255068,255061
6,255018,255030,255048,1255029,255064,250055,255064,255064
6,255024,255016,255025,179255020,251069,255062,255064,255062
6,179255034,242019,255074,255060,251071,255068,255070,255066
6,255034,255030,179255020,179255050,255064,255072,179255071,255090
6,255061,255028,255015,255046,255094,255064,255074,255094
6,179255056,1255029,1255029,179255028,255072,255074,255068,255088
6,255054,255028,255025,255028,255082,255076,255075,179255100
6,242019,255046,1255032,255036,255094,255070,255070,255092
6,1255022,179255020,179255020,255030,255091,255064,255064,255064
6,179255056,179255044,255024,179255020,252075,255056,255062,255064
6,255062,179255020,1255035,255011,255088,255071,255079,255085
6,245025,255026,255035,178255016,255088,255066,255076,255074
6,179255050,179255050,255065,179255026,179255060,255058,255054,250049
6,179255050,255045,255064,255023,179255060,179255044,255054,179255051
6,179255044,179255052,255015,178255018,255048,255056,255056,255048
6,250047,255068,255038,255062,179255042,255058,255048,179255044
6,179255046,179255052,179255058,179255058,255064,1255052,255060,1255052
