0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5,4255105,3253112,255092,255096,3255120,2248114,179255100,255094,2253106,1255103,255085,252095,253112,255097,242101,255082
5,255098,3255104,255103,1250108,4255125,3255119,1253105,255094,255084,4255116,255088,255095,255106,1253109,255100,255094
5,5248140,5255126,8249176,21250254,4255128,5251140,5251140,4255127,5255135,4255128,4253124,4255121,3253116,2255122,1255107,1250112
5,179255058,252079,255061,249088,1253119,5255167,3255152,255081,255096,255091,255095,255081,252093,255096,252079,255090
5,179255096,179255071,255087,255085,2255117,4255151,255108,1255136,255095,255102,255091,255088,255095,255096,255088,252091
5,255046,255060,179255050,179250047,244093,255114,255094,255110,255092,255090,255090,255092,255079,255081,255082,252079
5,255099,255099,246110,2253132,6243172,13255254,3250150,253104,253109,255096,255095,252091,255094,255098,255084,255085
5,179255100,255098,255103,250107,255103,1255116,253116,179255110,255092,179255103,255096,255088,250096,255092,255081,255081
5,2251124,255108,1255116,1255118,4246148,3253139,2255139,2255125,2255118,1249128,255110,255094,255113,253116,250110,250108
5,1255114,255095,179255100,251132,9248241,6255185,255100,252095,255094,255108,255098,255080,255080,255090,255078,252079
5,253109,255098,1255051,252079,179255100,1255104,255104,255102,255100,255096,255084,255090,255084,252085,255090,255099
5,1255042,255043,252081,255088,255096,4245149,2255127,1249040,255095,255096,255084,255087,255081,255085,255076,255094
5,255066,255070,255106,8254173,11255240,4255142,6246168,4253129,2255115,255113,1253113,255104,255104,1253115,255108,255104
5,3251143,255066,179255070,2255128,255118,4252164,255105,4255135,255110,255114,1248115,250113,255100,255105,251115,255099
5,1250113,2253125,178255049,255071,242121,255106,255113,255112,255102,255102,255100,255098,255094,255100,255094,255094
5,252101,255105,255114,255030,179251061,252095,255086,253105,255091,255085,255085,255075,255080,255081,255074,255072
5,1246113,3249130,3253133,3249135,5243152,9241194,2255117,1255108,255095,1250106,4255116,252095,252097,253105,255094,1255102
5,2255107,1241113,249082,6253163,5252153,8254180,7255161,250098,1255110,3253118,1253107,245107,255096,253105,255094,255094
5,3239113,2250105,255085,255076,5253133,7255163,6255157,7255154,1255107,2255114,1250106,255100,255105,255099,255103,255095
5,1255099,245104,255082,5255146,2255111,3253119,4249137,252088,1255097,1253109,255090,255088,248103,255099,255085,255092
5,2252101,252093,1255102,255086,1255106,2255119,3253116,1255107,255099,255099,250098,255090,255098,255095,255096,255090
5,1253108,2255113,2255114,2255108,2255112,1250113,1255109,9251183,3255112,3255112,255098,255099,255096,255092,255095,255099
5,255068,179255041,1255049,255099,3231149,2255139,250093,255085,255094,255098,243105,255084,255089,255090,255090,255080
5,255063,179255044,255040,255036,4252159,6255161,5255166,3255123,255090,255072,255076,255080,255090,255085,179255090,252081
5,5255171,1255101,255096,252091,255104,252099,242137,9253237,252081,255074,255088,255072,255074,255089,255070,255074
5,255099,255098,255102,252093,255099,179253117,1255117,252095,255104,255088,2214148,255089,255094,255092,252091,255074
5,1253132,8239233,9252227,255116,255110,179255110,9234253,2255135,255080,255105,255099,255089,255089,255090,252093,255088
6,255030,178246054,1255022,255014,1255032,177255026,179255020,255026,255068,255062,255060,1255052,255062,255064,255060,255060
6,255024,255025,255018,255018,255024,1255022,178255029,255018,255072,255064,252075,255066,255064,178251072,255062,255062
6,1255022,255012,255018,1255022,1255022,255024,179255056,179255042,255065,179255071,255064,255060,255060,255062,255062,255060
6,1255029,178255030,255018,255015,255012,255014,250049,255061,255090,179255070,255064,246085,252095,255074,179255070,255071
6,255060,255081,255036,255038,255006,255024,179255042,255064,255083,255089,255064,255064,245077,255064,2252080,255089
6,255062,255064,179255034,255014,179255026,255018,1255022,1255022,255086,255089,255078,255066,255094,255081,255071,255069
6,255050,255094,179255042,255031,1255029,179255020,255035,255024,255080,255090,255086,255072,255075,252079,255070,255072
6,255030,179255050,255055,1255032,179255026,255024,255038,255040,255088,1248115,252093,252079,255074,255080,255076,255070
6,179255042,1255059,255036,255025,1255022,178255036,255041,255024,255110,255098,255070,255088,255090,255086,255078,255094
6,1255052,179255032,255028,255020,255060,255021,255018,255024,255094,255072,255070,255069,255068,255064,255062,255074
6,178255030,255036,1255022,255020,255018,1255022,255020,255014,255062,179255088,255091,255064,255068,255062,255055,255058
6,255031,179255042,255034,1255021,255018,242019,179255021,255020,255085,255096,255100,255080,255086,255088,255072,255071
6,1255022,255034,255034,179255020,179255020,255028,255020,1255021,255081,255089,1255106,255075,249089,255085,179255076,255084
6,255064,255062,179255050,255046,255061,255080,179255039,255040,179255056,255055,179255050,255046,255064,255064,255054,1255045
6,179255056,1255059,255048,255045,255054,255078,178255036,255040,255054,255054,179255052,179255052,1255051,255061,179255050,255044
6,1255059,1255052,255046,179255042,250055,179255040,255054,255062,179250051,179255054,179255050,178255059,255068,179255051,179255042,179255044
6,1255052,179255044,179255046,255046,255055,255062,255056,1255029,250049,250049,179255050,179255044,179255058,255046,255040,179249040
6,179255050,255054,1255052,1255051,255054,255060,179255050,255054,255064,255060,179255052,1255049,255061,255054,1255049,255054
6,255045,179255050,179255044,250049,255058,255058,179255052,1255045,255062,255064,255054,179255052,179251071,255085,255055,255054
6,255045,255048,179255050,1255052,255064,251067,179255052,179255044,1255059,255060,255054,255054,255060,255068,255060,255051
6,250049,250049,255046,255046,179255050,255060,255046,179255042,179255050,255055,255046,250049,255054,255045,179255044,179255051
6,255044,255048,255056,255064,255060,255062,250049,179249045,255054,255058,255054,255044,1255052,179255050,255046,1255045
6,179255044,179255044,179255044,179255050,255060,255060,179255050,179255044,255054,179255056,255044,179255044,255048,255048,255048,255044
6,1255022,1255052,255054,1255052,255054,255062,245025,255010,255060,178255062,255048,255045,255062,255061,255054,255058
6,255064,255060,255062,255060,255066,179255034,255016,255069,255064,255061,178255056,179255058,179251067,255066,255062,1255052
6,255061,255060,255061,255060,179255056,179255046,179255078,255064,255065,255066,255058,255058,255066,251069,1255051,255054
6,1255052,250049,255058,255106,255086,255085,255074,255054,255054,179255058,1255052,255047,1255059,1255059,255046,255041
6,255044,1255051,179255056,179255066,253155,252101,255066,250047,179255058,255054,255046,255048,1255052,179255052,255046,179255050
6,179255046,250049,1255059,252079,251061,1255059,179255052,255048,255058,255061,255046,179255050,255054,179255056,249041,255044
7,123245025,157255027,127238076,123255069,126213121,128223143,127184141,120255026,120199082,119206089,119255065,120255056,121230072,121255057,119255049,120242061
7,121255082,122209122,127210126,120255068,120255056,120255102,120255052,120255056,119231063,119221083,120224075,121201076,119255066,119243066,120251061,120255046
7,120255028,120255038,120246027,120255030,120255028,129199147,120255070,148255037,118237070,120214081,120251061,120255056,119251064,119251062,120255054,121224065
7,121255040,120255036,119255031,123255035,120255057,120255072,120255038,120255050,120199077,120210080,121232066,120255054,119255072,119255063,120255054,122255055
7,120255180,120255066,120255066,122238059,121217067,121230072,120255064,120255082,118222084,120220081,120240070,120255060,120197088,118245080,120255062,119255061
7,120255074,120255090,120255066,119255070,122221068,122245053,121255044,122255039,118209094,117226087,118222084,120255062,121255058,119231085,119245075,120180088
7,120255058,120255058,119255049,120255044,120255038,121255052,120255036,120247123,118223088,120210080,118238073,120238075,120255054,119251071,119251071,119212084
7,121255032,122234060,122255043,120255052,120255051,120255034,120255030,120255024,117217080,119246057,120197088,119229078,119226071,119220081,119225069,119235064
7,120255056,123193131,118202177,121255060,123229078,126184065,121255042,120255048,118219079,117221089,117217088,119255061,118234074,122173087,118236068,119236068
7,132193107,120249133,118255152,120255080,121255049,124234062,119255032,120252081,120202082,120195089,118247065,120242061,120255062,119236068,119242058,119255061
7,121255075,120251066,119252080,121255080,129170099,125182077,126211052,120255054,119186096,118187109,117177114,118199087,120210079,118198094,118208092,118222078
7,121255040,123194130,120255057,120255064,127252083,127255050,120255021,119255032,120255060,120231073,120251067,120255050,120255056,120255058,120255062,120255054
7,120255036,119255057,122255053,121255047,122249090,122250112,120255030,120255030,121247062,119239079,120243065,120255054,120255052,121251064,120255048,120255054
7,120255031,120248037,120255050,124255044,120255036,127236096,120255020,120255024,120251065,120234072,120251063,120251061,121255058,120255054,120255056,120255048
7,125255041,121255023,123162055,123152062,165106089,159114087,122255014,122255018,128109094,119109101,121117087,123124076,117142070,116152062,121129067,119167061
7,119255047,122203059,120255028,122112084,119124084,125091101,125255012,122255018,124119086,122101101,125116075,121119086,118136090,119146070,121152057,123124064
7,110252203,119233047,130131070,124161065,122112084,121112091,129185040,118255058,124117089,122099095,125122067,125128072,121132081,122129073,123172046,123131068
7,119255034,125255034,142146103,119203148,121243085,120255038,120255026,119255022,117231073,117205087,118217074,120247062,117237069,119210074,118240067,120229058
7,120255034,143248036,127134156,122179148,126246054,120255036,123255024,120255018,119226062,118204085,118208082,118238060,119217067,120226061,121220066,120237058
7,120255056,120255056,121255062,120255068,120255058,120255046,120255034,120255074,119190082,119209077,118207075,120228065,118215077,117237071,119250054,118239062
7,160009255,121205061,119250048,119235051,119210062,121196061,121222069,121207090,121208071,118184101,117214081,120233070,119236068,119203079,120243063,120231064
7,119208060,122228057,122241056,124190055,121203079,122163086,123206067,132092108,117255070,119188095,118211082,126156077,118244068,118240069,122236066,122219064
7,119255042,120255046,121255042,120255064,121200060,120200069,122234062,122255066,117238073,120189089,118244068,119251058,117255068,120222069,120255054,120250055
8,6255010,11255008,6255005,1,1,173255004,3255011,6255010,21232011,32223016,24255005,24255005,17255007,13255009,36255005,24255005
8,15255002,1,0,0,30255001,255004,177255010,6196013,20255009,26232022,25255006,13255007,13255007,25255006,13255007,11255008
8,15255002,15255002,255004,20255003,20255003,255005,9255007,20255003,23219014,30204010,13255007,24255005,13223008,19255008,24255005,11255008
8,255006,120255002,255001,45255006,25200023,25255018,11255008,255004,25255011,25255006,13255007,13255007,24213006,13255007,24255005,15255010
8,19223024,20230020,21232011,13215019,24245025,24255030,19247030,20255018,28255027,30255034,26255020,22244023,29255030,29255021,16255015,22201019
8,11255008,6255010,23255004,3255009,13135017,9255007,6255010,17242020,16255015,22255022,13177013,21237014,26255015,13255007,6182007,9255007
8,15243021,21255013,13255016,26255014,24246029,21255020,24255025,19211029,26248038,29255027,24246029,25255018,26255021,23255023,22225017,20209022
8,32230071,35255053,30255008,24255005,13198009,3255011,11210017,21255024,36255005,24255005,36255005,24255005,24255005,24255005,24255005,36255005
8,22255047,11255008,16255015,20255012,11227009,21255013,11255008,13227018,11255008,24255005,13255007,24255005,21182014,36255005,24255005,13255007
8,6255010,219007,13255007,11255008,6255010,13230010,11255008,11255008,23255016,24213006,13255007,24255005,24255005,36255005,23255004,17255016
8,255004,13255007,219007,6255005,255004,1,15255002,60255002,13255009,42213006,26241018,24255005,13255007,13223008,20255009,13230010
8,1,30255001,20191004,255008,165255002,1,1,255006,22255015,26234024,22255015,17255007,16255011,11255008,17255007,20242019
8,255012,177255010,10255006,13255007,11255008,6255010,255004,6232011,22244023,25255019,24255005,19255008,21255010,36255005,11255008,25255018
8,255004,120170003,255004,177255009,173204005,15255002,255004,255008,24255024,26255014,25219007,30255008,30255011,25255019,3255009,21232022
8,20255003,173255004,75255002,23255009,24142009,14255017,255010,3255011,15243021,22255030,26232022,16239016,26243021,26255020,14237014,22255015
8,21255034,19223024,165255002,255006,60255002,3255009,13240017,9255013,26255042,26255034,19231032,24255016,24255029,19255021,13255009,19247032
8,3255011,23255004,8255011,255018,173204005,165255008,5255013,9255007,28255026,25255046,26201019,22245026,24255024,28255025,16239016,25255013
8,3216013,20255003,60255004,17248035,255004,30255001,9255007,5255011,20246027,27255034,25255033,27255023,24255032,24236027,26241018,20255024
8,3255011,255004,30255002,13245026,6255005,26201019,9255007,15255018,20255022,24255033,26255034,26243021,22237028,26232022,22255015,24255035
8,5255022,9242020,255006,3255009,12235039,17198072,6255010,3255012,19247030,13255018,11255017,5255012,8239016,11255021,235013,14255023
8,2225017,255012,255006,50255003,60223008,66255005,255012,255014,19248035,20248037,16234024,5255013,11210017,9220022,5255012,11243022
8,2255015,6255005,3255009,10255006,3255009,238015,2255015,7245026,16224025,16255025,3255012,9255016,11228019,20237028,5235013,8255015
8,2255015,5255006,3255011,15255006,5204015,9255029,255011,255012,13255018,17246029,14255017,8225017,15209022,13255018,5237014,5195017
8,5237014,255010,255005,13255007,255008,230020,3255021,8255025,15255037,17255036,17255040,10244023,11255027,19250048,11228019,8243021
8,9255019,11255022,6255010,219007,30170003,25255011,176255014,255016,16255036,17255047,13255031,5255017,15227037,14255022,2255016,15255033
8,5244023,255010,6255010,255019,17193037,255020,8255023,2255019,17250049,19239048,14242038,10255033,13255034,12234024,6255019,8246028
8,255011,255005,173255004,255006,255004,255014,255014,255014,15247032,16255028,12232033,5228019,12244024,15255026,2239016,13255033
8,255014,255014,255015,179243021,174239016,242019,255016,255010,13255037,13249046,13255041,10255039,7255032,11255030,8237028,8255031
8,178255016,1255021,255014,255012,255015,179255020,255014,255014,12231043,14255042,10248034,4255022,8247032,6231032,255020,8247032
8,255010,255016,255010,38255004,255010,255011,255010,255010,13255041,13238044,8255032,9255029,10248037,11255035,5244024,1244023
8,11250048,15218041,6255014,177255009,255010,3255011,255011,179255020,11242039,12255039,9255032,6255026,5247031,5247031,9255034,9255038
8,255014,255014,6255010,255006,3255009,5255013,255012,255015,5241018,14231021,11255017,5255013,255014,12235025,255016,5255012
8,255014,255016,3255009,5255013,5255011,12244024,255012,11210017,14255023,17232033,240017,2255015,235013,9255019,2255015,3243021
