0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3,71066098,83077102,69065089,65059082,74068091,86080103,96084102,90078097,86079102,92079103,90077099,63065089,86077103,91082103,100089109,92082103,78069089,80073099,78069089,98082099,94078095,94078097,77068089,76067088
3,111100123,69070096,98093124,77069092,57052079,76066087,92082105,101090112,122107129,87080110,17019042,117116146,94081105,91081103,129117140,99089115,80070093,81075094,93080104,88081106,67060081,43041063,52041061,65057074
3,69064093,75070099,86077104,63059083,65062087,62058077,74068093,92080102,119088107,46045072,90087117,74077107,86073095,119103123,98079102,80065082,89077097,82072095,84073093,90078098,76066083,84073093,68059079,86077098
3,77075105,70066095,74067088,78071097,68066095,66059086,76067087,84075101,81074095,119100121,79069092,99089112,77069092,96089110,98091117,80074097,82076099,79067089,62053075,77067087,110091112,102084099,65054080,74063089
3,100097119,130121147,102098123,0,108096122,0,0,0,135124150,0,107102129,134121144,95084110,116109138,125115138,107103128,90085114,115100122,107095117,104092110,104092113,102090110,79068094,92079103
4,46076104,49079106,61092117,35059085,32064093,41068095,65089107,60089115,62095123,57084110,67097123,40069096,64083104,83104126,106130150,72093115,68092112,73090111,66083102,72086104,71088107,89113131,67087105,67086107
4,39072105,42071102,62083105,10030052,39068099,42064089,47074096,59082104,71090111,56083109,60091116,52079109,77092111,88111133,87103121,77096117,67090112,48072097,49073097,63080093,72086107,61077094,62079100,86105127
4,87109124,89102122,44072096,35062088,39072101,41068088,35062088,45075100,33041069,96098108,37071094,52070097,51079104,67094114,60087114,69092112,43073100,42066086,51078098,51075095,50069086,44064087,39057080,30053075
4,135155189,49075098,48078105,48077107,54076102,28061088,37067092,4037,91095105,49073094,55085114,93131165,62086108,70095121,71097116,54089114,54078101,51076099,52072089,56077098,48070087,53069092,49074096,41068095
4,57091121,70095122,75084101,40070097,53084107,49073095,56083104,64094119,86103122,73099125,77106133,49079104,58085106,93114144,44062081,64091118,74099119,53077099,61085105,55080098,89112140,76100120,51075097,59084104
4,72106132,39073103,47081106,126117117,39067093,70073086,114123134,75103130,83105130,54077099,30068100,24055085,60079096,65092113,81096115,74102132,62093116,37065092,35059079,44071088,72097117,46067082,48066085,45066087
