0,1,2,3,4,5,6,7,8,9,10,11,12
2,23164,23153,23172,20248,20186,22176,25102,24111,25110,25122,24115,23110
2,21150,23152,22161,23184,22201,22195,23132,23137,22161,23149,22139,23138
2,23184,22202,19250,11255,9232,22221,23138,24165,23155,25154,24157,23144
2,22212,19232,6227,14251,7248,23230,24143,24162,23157,25165,23157,24149
2,23195,15255,19242,23196,23197,24184,25136,24141,24159,24147,24151,24146
2,23216,23204,12255,20193,22243,20237,23145,24144,23148,23155,24158,24151
2,23187,22189,21179,22160,22178,23177,23116,24128,24136,24127,24126,21140
2,23182,23171,23165,23175,22185,23176,24109,23132,21136,24127,24126,23123
2,22204,23185,23175,22150,23168,23177,24123,24122,19148,23131,24127,24124
2,22180,23204,20166,22178,22206,23188,23117,23152,23138,25122,23132,24122
3,171067,11122,159163,175200,172090,173098,167054,164048,164054,160048,167054,170064
3,164141,170174,167255,4126,179150,174170,167053,164048,171059,162048,166049,162048
3,174060,172079,173092,2132,177133,174155,162048,164057,175069,163050,163056,163062
3,177070,179076,165119,165127,179107,81,167053,170045,164054,162048,162055,164064
3,0,0,0,0,0,0,168051,171050,173063,140046,153052,167062
3,172054,0,0,0,0,176058,164050,170066,167058,152034,163057,167054
3,166047,0,0,0,170059,173055,168053,170064,170064,153050,160049,172058
3,170060,169064,172056,143031,170059,176067,167055,176073,173060,168069,169053,171054
3,172056,175074,173069,159046,177051,9108,164051,175078,167058,170077,167070,164064
3,170070,172073,172080,146059,59,74,147045,162049,161052,170057,167065,163058
3,170074,173073,172076,169053,170060,173059,162054,170069,167061,157057,167069,170064
3,168052,0,0,0,0,178042,167044,167052,170050,162045,170044,164049
4,18141,14125,15125,15126,15137,14137,15091,15095,15117,19088,17089,17099
4,17141,16159,15149,14104,14085,15138,13070,16092,15126,15088,15086,15076
4,17150,16181,17155,15153,170116,16116,15099,16126,15137,16099,16097,15127
4,15120,15160,15143,16142,12060,16136,15093,14124,18123,13092,13082,15132
4,17141,17040,16145,16079,17104,16116,16088,17106,16113,15106,15114,16106
4,16156,29,16140,16086,17141,7248,16083,15098,16193,16110,14112,15116
4,16112,18124,16123,16071,17101,16143,12108,17109,15114,14100,20116,16130
4,8255,4248,15143,15105,16123,16111,13117,14102,14147,15142,15148,16121
4,14121,9250,12247,13096,15073,17131,15063,18084,18130,16118,15098,14069
4,15185,14192,15180,14126,255,15234,14134,15149,15168,15161,15167,15151
4,12246,13230,15130,17092,14233,11229,17107,17104,16133,17105,15124,16119
4,14255,22140,13167,16118,16144,6246,17096,18114,16137,17106,16118,17110
4,13189,14225,15177,14179,12232,13237,15138,15154,16162,15126,14158,15161
4,15186,13195,13183,16148,15156,15179,16125,16137,16132,13124,15141,15164
4,16177,15169,15157,15135,15164,15202,15146,16150,15156,14129,15135,15163
4,15204,15212,15220,15179,16197,15206,14149,16171,15188,14133,15190,15174
4,15179,15199,15189,15167,16180,14171,16128,16154,16175,15165,15194,17171
4,15156,16190,0,16145,14201,17164,16120,16196,15144,15143,16156,16180
4,15184,16194,16170,15142,11234,15180,14112,16145,14156,16145,15161,14166
4,16172,15160,16152,15132,13218,15180,15108,14112,15124,15111,15134,15135
5,0,0,0,0,0,0,1255,1250,253,244,250,255
5,0,0,0,0,0,0,2253,253,255,255,255,252
5,0,0,0,0,0,0,5248,3241,3253,1255,1255,250
