0,1,2,3,4,5,6,7,8
3,162196026,169255011,4087215,179199041,162046121,167054123,167055092,172061112
3,173069092,162043102,162054103,167062094,166043100,167055093,159055097,171047103
3,178082093,173064084,165056119,179075109,167054109,167055093,153065071,170052103
3,148045085,142041113,171044110,167046116,170051106,167061088,156045090,167057094
3,173066081,135064096,167056095,176073101,173062103,156053102,146039091,170067099
3,172070084,178067110,136081091,179078104,167068105,153052088,173101063,164059104
3,176066112,116123106,177230010,255015,162059086,164054095,156047086,164055102
3,175082090,171060081,153044122,176066096,170066100,170065083,141053102,164067091
3,178069107,170051116,170046128,175066120,170047124,156048111,162051111,167049119
4,6234037,8255058,1255029,5204050,13065125,15113097,13083102,15081142
4,4255028,10245052,230020,255030,16085111,14130092,13080105,13071118
4,8215032,179243021,99086086,174174022,15101114,18116086,13129089,17138089
4,12233058,16179137,18129138,16180106,15164084,16110086,13095089,15094114
4,255014,4244045,105062082,13176113,15117116,15105102,14097124,15123110
4,15172095,17135106,14138096,17122117,14082125,15180075,16097100,15103104
4,16166109,17132104,13158092,11255051,19096111,17106101,16118095,13144085
4,5248036,11252078,12248068,177243021,14112107,15130094,13120102,13112109
4,12147132,14188118,8236067,173010107,15090127,17106108,17100102,15098125
4,11255082,9252074,12250094,5255051,15130122,15151101,15146103,15160102
4,13228122,11247096,14246114,12232109,17110142,16126127,18115129,15129130
4,10255063,13255105,10255050,10255060,16105133,16120130,16120130,16116141
4,9242077,11243084,16204115,6255061,15164106,16127143,15162113,16145128
4,14255078,14226106,15171128,15219106,16138131,15168106,14146133,15150122
4,11255070,2255062,5255046,16227111,16143128,15161119,15173109,15173109
4,3243041,9218089,8220088,10214081,15155099,14183081,15180088,15153107
4,15210102,7255072,5255064,14223096,15148114,15177085,14173087,15168097
4,7255042,11146115,11255077,11189097,15113122,16137082,15164070,14138107
4,14207080,10241073,170140069,255031,14113106,15145079,16172074,16148146
4,10255039,12255090,6239064,8255059,16099157,16132110,15125104,15144110
5,6251120,1253109,2253117,5243143,2255108,255095,255090,2255109
5,2255113,1253103,1255107,3247123,255103,179250102,1255106,255096
5,3255117,5253125,7253158,7255149,5253139,1255107,1255107,5253132
5,1250112,253109,3232156,255087,253104,255088,255098,1255104
5,255064,255096,1253119,255071,255098,252095,255085,255088
5,1255096,1255097,1249128,249121,255092,179255082,255081,255103
5,255100,255113,249091,255102,250107,255100,255082,253111
5,255092,255105,3241149,255106,255094,252095,255092,255095
5,2255125,2253120,3251136,1255114,1249121,255099,255113,1244114
5,1255096,255092,255102,15253254,255088,255074,255086,255100
5,255100,252101,255106,255103,255080,255080,255080,255100
5,243084,255098,1244114,255078,252095,255089,255080,255096
5,1255052,3236137,1255112,4255144,255110,251115,255108,1251116
5,3253142,8255191,2251134,2253133,1255114,255104,255100,255110
5,255081,255133,4252150,17254255,255106,255095,255084,255099
5,179251057,255064,255099,252095,255089,179255076,248068,255086
5,255068,5250152,2255115,3246111,3255119,255094,255099,1255104
5,11246216,6255158,6247157,12241204,255096,255096,255089,179255100
5,3245124,3255124,4255128,2255112,1255103,255098,255104,1255104
5,3245132,3255120,6253155,12254235,2245107,255090,255086,1246108
5,2255116,2248106,2255121,2255109,255098,252090,255100,1253103
5,255098,1250109,1253110,255103,255099,255096,255095,255098
5,250049,4255151,5255170,178255049,255090,255096,255089,255091
5,250055,253104,2251132,255068,255090,255080,255078,255088
5,252079,252085,255089,255089,252095,255072,255074,255078
5,255089,255106,255112,255102,255098,255094,252101,255090
5,255088,255104,1255136,255098,255094,255084,255094,255095
6,179255032,255034,176255022,255020,255069,255060,255065,255060
6,242019,255030,255050,255024,255062,179255050,255064,255062
6,255024,255016,255025,179255020,255070,255064,255068,255062
6,179255034,242019,255072,1255059,251071,255066,255070,255068
6,255034,255030,179255020,179255051,255064,255072,179255070,255090
6,255062,255028,255018,179251057,255094,255064,255072,255094
6,179250051,255030,1255029,178255030,255072,255074,255064,255090
6,179255050,255030,179255028,179255032,255082,255074,255076,179255100
6,242019,1255045,1255032,255036,255094,255070,255070,255092
6,255024,255018,179255020,179255034,255091,255065,255066,255066
6,179244089,255040,1255022,179255021,179252077,179255056,255064,255064
6,255062,179255020,1255035,255010,255088,255070,255079,255085
6,179255032,255041,255045,255012,255087,255065,255076,255074
6,255054,179255050,179255072,1255036,179255061,1255052,179255058,250049
6,179255050,255045,255064,255023,179255060,179255044,255054,179255051
6,179255044,179255052,255011,255014,255048,255056,255056,255049
6,255046,179251071,249041,255061,250049,179255056,255046,250049
6,255046,179255052,179255058,255054,255064,1255052,255060,1255052
6,179249045,179255062,255060,255044,1255052,255060,255062,179255058
6,179255050,255056,255054,179255044,255060,255060,255062,255062
6,255044,179255050,251065,255044,255056,179255051,255048,179255050
6,255050,179255059,255054,250049,255048,255046,179255050,255055
6,255048,255060,179255058,179255042,1255052,179249045,255046,255045
6,179255050,179255050,179255055,255055,255061,255045,179255056,250049
6,255062,255066,179255044,179255041,255064,255066,179255059,255064
6,251061,255062,255016,251063,255058,179255056,179255054,255061
6,255048,255058,250096,179255042,255054,255054,255048,255055
6,255076,255060,255099,255054,255061,255054,179255052,179255050
6,179255050,255055,255075,179255044,179255052,255050,255046,179255044
7,117255139,121255054,121255040,121255060,119218082,119243066,121235063,120255050
7,120255026,120255026,126215126,120255026,119245073,119251064,120255054,120215077
7,120255062,137255049,126218104,121198138,119215083,119217074,119251064,120255038
7,120255030,120255080,122255016,120255034,117246082,120251061,120255056,121194075
7,120255056,120255054,121255097,120255050,118222094,118255073,119255071,120222078
7,120255098,122229059,120255074,120251063,120240069,120255065,120255068,121207080
7,120255072,120245073,122224065,120255054,118211086,120247067,120199087,122234072
7,120255044,119255051,120255024,119255041,118209083,120218068,118243066,118213078
7,121247060,121250048,119255031,119255042,118208087,120232066,118210079,118221075
7,125214144,120255044,128255042,120255070,119189085,119255053,119190079,123255062
7,120255093,121255040,125171073,120255038,118190098,120199087,120197088,118181100
7,133211110,120255094,121255057,120255048,120255057,120255054,120255054,120244067
7,120255080,120255066,120255077,120255052,120255062,120255054,120255056,120230071
7,120255066,119255045,120255054,121255054,120234072,119255049,120255050,120255060
7,127134042,121126069,119255036,129220044,123095099,119148074,119129079,123108087
7,130127046,121146054,134110065,117229079,119122094,121105097,121170060,120109084
7,136153085,122124080,132242019,128255015,122112084,118139081,120158058,125122075
7,145216039,120255036,120255028,119255029,118228076,118255061,118236066,118207080
7,146255021,120255039,119255031,120255036,118210079,118230062,119233069,119192081
7,120248039,119255042,122219043,120255028,116209083,119231065,119238059,121184090
